time, speed, x_loc, y_loc, dist, x_vel, y_vel, x_accel, y_accel, z_accel, pitch, yaw, roll, gyro_x, gyro_y, gyro_z
0.251497984,50,-0.047700919,1.578039117,1.578759904,-0.211916072,10.86792052,-0.025875475,-0.189961746,0.976811588,12.42383957,1.601453304,-1.461410165,-46.7029953,4.523116589,-20.44890976
0.262536526,50,-0.047700919,1.578039117,1.578759904,-0.211916072,10.86792052,-0.025875475,-0.189961746,0.976811588,12.42383957,1.601453304,-1.461410165,-46.7029953,4.523116589,-20.44890976
0.272940636,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.283406734,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.293679714,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.304118395,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.314396143,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.324674129,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.335107088,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.345417261,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.355689287,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.366101265,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.376425743,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.386979342,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0.397367001,50,-0.06866394,3.176032752,3.176774902,-0.114599545,11.41144335,-0.018002477,-0.472637177,0.892614365,24.22023201,1.266974688,-2.10319376,-79.25733948,1.847301602,8.350186348
0,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
